HDR,ROLLING SYSTEM DEMAND
VD,20200318235000,28482
VD,20200318235500,28391
VD,20200319000000,28289
VD,20200319000500,28425
VD,20200319001000,28534
VD,20200319001500,28486
VD,20200319002000,28375
VD,20200319002500,28376
VD,20200319003000,28433
VD,20200319003500,28547
VD,20200319004000,28672
VD,20200319004500,28733
VD,20200319005000,28737
VD,20200319005500,28709
VD,20200319010000,28737
VD,20200319010500,28636
VD,20200319011000,28533
VD,20200319011500,28268
VD,20200319012000,28099
VD,20200319012500,28036
VD,20200319013000,27950
VD,20200319013500,27821
VD,20200319014000,27747
VD,20200319014500,27720
VD,20200319015000,27635
VD,20200319015500,27513
VD,20200319020000,27404
VD,20200319020500,27287
VD,20200319021000,27230
VD,20200319021500,27098
VD,20200319022000,27034
VD,20200319022500,27033
VD,20200319023000,26985
VD,20200319023500,26997
VD,20200319024000,27011
VD,20200319024500,26950
VD,20200319025000,26904
VD,20200319025500,26825
VD,20200319030000,26800
VD,20200319030500,26836
VD,20200319031000,26756
VD,20200319031500,26661
VD,20200319032000,26495
VD,20200319032500,26400
VD,20200319033000,26311
VD,20200319033500,26307
VD,20200319034000,26279
VD,20200319034500,26182
VD,20200319035000,26222
VD,20200319035500,26237
VD,20200319040000,26247
VD,20200319040500,26246
VD,20200319041000,26241
VD,20200319041500,26246
VD,20200319042000,26247
VD,20200319042500,26302
VD,20200319043000,26344
VD,20200319043500,26388
VD,20200319044000,26404
VD,20200319044500,26397
VD,20200319045000,26442
VD,20200319045500,26497
VD,20200319050000,26603
VD,20200319050500,26869
VD,20200319051000,27073
VD,20200319051500,27330
VD,20200319052000,27514
VD,20200319052500,27565
VD,20200319053000,27744
VD,20200319053500,27963
VD,20200319054000,28070
VD,20200319054500,28263
VD,20200319055000,28360
VD,20200319055500,28366
VD,20200319060000,28454
VD,20200319060500,28754
VD,20200319061000,29125
VD,20200319061500,29489
VD,20200319062000,29837
VD,20200319062500,30100
VD,20200319063000,30328
VD,20200319063500,30746
VD,20200319064000,31261
VD,20200319064500,31846
VD,20200319065000,32339
VD,20200319065500,32724
VD,20200319070000,33258
VD,20200319070500,33786
VD,20200319071000,34277
VD,20200319071500,34673
VD,20200319072000,35050
VD,20200319072500,35505
VD,20200319073000,35579
VD,20200319073500,35712
VD,20200319074000,35937
VD,20200319074500,36077
VD,20200319075000,36194
VD,20200319075500,36376
VD,20200319080000,36490
VD,20200319080500,36651
VD,20200319081000,36878
VD,20200319081500,36954
VD,20200319082000,36959
VD,20200319082500,36999
VD,20200319083000,37100
VD,20200319083500,37063
VD,20200319084000,36927
VD,20200319084500,36826
VD,20200319085000,36812
VD,20200319085500,36817
VD,20200319090000,36826
VD,20200319090500,37056
VD,20200319091000,37089
VD,20200319091500,37108
VD,20200319092000,37131
VD,20200319092500,37131
VD,20200319093000,37089
VD,20200319093500,37031
VD,20200319094000,37173
VD,20200319094500,37174
VD,20200319095000,37156
VD,20200319095500,37223
VD,20200319100000,37288
VD,20200319100500,37511
VD,20200319101000,37585
VD,20200319101500,37671
VD,20200319102000,37581
VD,20200319102500,37509
VD,20200319103000,37509
VD,20200319103500,37559
VD,20200319104000,37577
VD,20200319104500,37616
VD,20200319105000,37581
VD,20200319105500,37509
VD,20200319110000,37555
VD,20200319110500,37573
VD,20200319111000,37587
VD,20200319111500,37605
VD,20200319112000,37650
VD,20200319112500,37708
VD,20200319113000,37822
VD,20200319113500,37718
VD,20200319114000,37667
VD,20200319114500,37515
VD,20200319115000,37508
VD,20200319115500,37473
VD,20200319120000,37485
VD,20200319120500,37617
VD,20200319121000,37837
VD,20200319121500,37885
VD,20200319122000,37850
VD,20200319122500,37839
VD,20200319123000,37840
VD,20200319123500,37891
VD,20200319124000,37960
VD,20200319124500,37844
VD,20200319125000,37737
VD,20200319125500,37654
VD,20200319130000,37571
VD,20200319130500,37799
VD,20200319131000,37895
VD,20200319131500,37964
VD,20200319132000,37940
VD,20200319132500,37913
VD,20200319133000,37873
VD,20200319133500,37775
VD,20200319134000,37638
VD,20200319134500,37609
VD,20200319135000,37651
VD,20200319135500,37658
VD,20200319140000,37586
VD,20200319140500,37522
VD,20200319141000,37473
VD,20200319141500,37401
VD,20200319142000,37473
VD,20200319142500,37547
VD,20200319143000,37632
VD,20200319143500,37687
VD,20200319144000,37691
VD,20200319144500,37681
VD,20200319145000,37541
VD,20200319145500,37471
VD,20200319150000,37359
VD,20200319150500,37351
VD,20200319151000,37403
VD,20200319151500,37482
VD,20200319152000,37595
VD,20200319152500,37691
VD,20200319153000,37765
VD,20200319153500,37868
VD,20200319154000,37952
VD,20200319154500,37984
VD,20200319155000,38072
VD,20200319155500,38126
VD,20200319160000,38135
VD,20200319160500,38413
VD,20200319161000,38511
VD,20200319161500,38595
VD,20200319162000,38672
VD,20200319162500,38926
VD,20200319163000,39091
VD,20200319163500,39269
VD,20200319164000,39297
VD,20200319164500,39533
VD,20200319165000,39721
VD,20200319165500,39794
VD,20200319170000,39853
VD,20200319170500,40134
VD,20200319171000,40250
VD,20200319171500,40446
VD,20200319172000,40561
VD,20200319172500,40642
VD,20200319173000,40767
VD,20200319173500,40787
VD,20200319174000,40661
VD,20200319174500,40636
VD,20200319175000,40680
VD,20200319175500,40836
VD,20200319180000,40917
VD,20200319180500,41084
VD,20200319181000,41158
VD,20200319181500,41201
VD,20200319182000,41236
VD,20200319182500,41304
VD,20200319183000,41467
VD,20200319183500,41621
VD,20200319184000,41718
VD,20200319184500,41772
VD,20200319185000,41777
VD,20200319185500,41693
VD,20200319190000,41574
VD,20200319190500,41430
VD,20200319191000,41246
VD,20200319191500,41053
VD,20200319192000,40887
VD,20200319192500,40679
VD,20200319193000,40456
VD,20200319193500,40342
VD,20200319194000,40052
VD,20200319194500,39937
VD,20200319195000,39817
VD,20200319195500,39471
VD,20200319200000,39116
VD,20200319200500,39069
VD,20200319201000,39055
VD,20200319201500,38784
VD,20200319202000,38551
VD,20200319202500,38300
VD,20200319203000,38083
VD,20200319203500,37876
VD,20200319204000,37668
VD,20200319204500,37421
VD,20200319205000,37139
VD,20200319205500,36851
VD,20200319210000,36628
VD,20200319210500,36590
VD,20200319211000,36388
VD,20200319211500,35870
VD,20200319212000,35610
VD,20200319212500,35278
VD,20200319213000,35046
VD,20200319213500,34773
VD,20200319214000,34350
VD,20200319214500,33760
VD,20200319215000,33393
VD,20200319215500,33131
VD,20200319220000,32715
VD,20200319220500,32428
VD,20200319221000,32211
VD,20200319221500,31812
VD,20200319222000,31354
VD,20200319222500,31067
VD,20200319223000,30918
VD,20200319223500,30616
VD,20200319224000,30449
VD,20200319224500,30089
VD,20200319225000,29729
VD,20200319225500,29509
VD,20200319230000,29198
VD,20200319230500,28879
VD,20200319231000,28622
VD,20200319231500,28208
VD,20200319232000,27933
VD,20200319232500,27719
VD,20200319233000,27524
VD,20200319233500,27421
VD,20200319234000,27227
VD,20200319234500,27116
VD,20200319235000,26983
